id,repo_id
68397715,10313229
11444881,7921108
14931143,143612
5049240,1142
31439558,13378441
42251050,22091370
38807338,22091370
72320011,28947324
13618157,168
46791095,5183711
108958576,15889688
10116764,1142
2679444,12885
17739339,6015719
32788297,34207266
56317388,10039226
6382056,6093
16920235,1996840
41229853,22041839
22538906,10642813
85764679,2157
33714241,5768596
21496879,13534407
36861114,2184
22387495,29523
34479982,17991525
16120476,634
27442903,10045
22954798,21426700
15211392,9626384
43963159,25601631
19187694,20743170
1721203,64630
37561381,8160874
43791721,604767
40894291,9678863
926238,3085
34319383,22053028
65333579,10425739
55872512,11750891
8884089,27258
41631781,2184
74537992,2281
27960177,13340928
2327736,8127
33239858,12752080
102091272,17991525
15238895,13465629
75964289,15022227
8581865,8964129
11529366,683351
83913127,6801328
16409385,18659
75961342,11611140
30925494,13378441
16125923,8127
314732,39505
19587295,14279
12238594,4482398
6670742,6801328
56339025,14480973
758938,15762
85646167,417939
37560443,29670
41632428,390
36981997,31719
32125933,524804
34337840,20281355
10137388,4708601
73485097,27712743
102192197,9678863
101471673,5062667
37342367,3825551
80203731,3777
17386689,2344415
79257816,6
94970246,9422
5043926,31723
27379108,37
69096743,3228357
81590115,2157
4992256,9384
102550899,595203
3743751,961
96665282,123425395
29840294,217063
24065556,7930999
29332039,6
18070680,158753
33479577,961
106103845,26108963
45257999,6093
56574984,13337190
44086113,18659
45356973,739410
62345676,13378441
26152723,26624
18284007,13465629
41896420,9982829
55522398,27601818
762044,15762
25476937,12752196
8464862,8937352
11077926,7212135
51419145,3601879
45939751,20861785
35542612,28947324
60616063,2989453
13739649,4708601
10136974,4708601
36998608,3601879
14286799,4489243
17328013,14098
25755915,30464
17313171,10200435
61469855,11632333
74527225,34754970
32923328,6401040
3334303,12132
49848013,27261269
15644043,2249947
16914886,7976200
58673937,1992097
1024647,1036
5600441,5162
35231887,27601818
66373980,34388
3391671,6026
67001962,11750714
877213,390
43047942,22053028
13394560,1486
25736450,524804
58587892,28557277
41435912,14477484
75683105,28947324
54910079,11750714
12320526,4252
32250076,7845
50148560,7921108
8616508,6437914
34300391,8255972
19711068,23203
77032854,20096264
835236,1920
32437542,30508301
64369766,4580307
31476034,3231
16618399,18089783
45927164,537036
17861684,19795940
90157137,27194
98735101,20078281
76839563,877535
20761634,524804
57365103,6139251
1202690,853
41398616,10941284
1820927,961
74565262,11638
42527782,6801328
47213401,28947324
76974756,39505
10715672,10425716
75597429,15601873
47373514,4720390
30082193,1554
87433247,26108963
24347725,1142
9536386,4580307
62745076,5282855
5679053,19903
9841902,1142
21064377,10192058
623913,12258
10305827,205522
22643214,3777
46345692,16827100
864980,1129
38023117,2254769
63113226,5831963
75367089,6705344
60474225,17302013
821448,14952
64930484,14537323
44780432,5455
78303742,28947324
49369220,24397
1113795,1394906
24790952,9626183
20761529,11372864
41989517,11794421
86528579,29172179
32393920,24917798
25230891,20078281
26100825,20796
19654633,14794450
45215162,12752080
10999144,10313229
54038612,9664377
39186082,3486
11246033,20796
41034844,30500617
26125929,6830
930621,7608
39727163,6824363
18702674,20837953
34324929,34207266
38988300,1263208
3220574,4095
4849648,54491
1756290,9422
36875510,13465629
16526811,6437914
66776069,12159636
24334239,2256873
6320935,18659
10652930,177326
21566168,10898284
1400640,6815
36844799,3228357
34676236,28947324
16856920,4708601
28252224,17147581
39211860,19626
11618285,5768596
40961338,20271797
59962536,7803564
3728431,9793
48949173,6567990
69385738,14945138
60452982,13378441
52465809,19377
23960668,19719314
102877437,22041839
45536634,81335
8992913,9626183
24037534,26688
24340005,2909122
1309994,11019
70365815,12682853
23631744,6093
79768479,21426700
23948250,1361727
86808005,21426700
20441614,4123965
21359605,4952344
24378405,7921108
18246248,18904813
16336311,9472730
50816325,30272024
3443260,39505
6876277,20096
96901,3894
25631111,20078281
41870299,9164060
89108103,13465629
104677320,20861785
21912979,15022227
62940658,11632333
73936312,15022227
94299903,20861785
18255329,10200435
22324704,23834
7929413,854407
46266973,17991525
16570900,17991525
47195803,28947324
80677874,13465629
59318674,7976200
10090758,20374
993026,1920
58597349,28947324
35712430,1996840
33113711,5455
31382058,4472440
15359442,10325993
41306224,10842035
35984116,12813026
68407169,10039226
59528563,5455
5136149,1933719
18638111,48099
67940482,29123233
18098025,18022219
48759634,2254383
106863899,9697927
48873777,30383770
94204303,9793
57841705,9039695
60715863,17466934
11371126,524804
39507775,10390278
12345831,10070
54915069,28947324
45121484,5455827
45717276,22091370
5697391,15762
10287249,3777
6659626,181023
32530603,2363758
25357460,10941284
26631400,24917798
23380154,34957
20684832,10313229
38477465,2989453
11536696,11116784
29081178,11117
45764320,22072113
62393562,20931597
65669515,28947324
41324419,27601818
1324158,1348749
76356613,14477484
39533380,2876
26828481,17991525
10136159,4708601
52129241,26047131
23031021,1142
20007655,16827100
24002446,10192058
48606545,5455
32470707,29930884
32298401,20743170
33686546,22091370
37561781,10941284
105628114,18421264
28074897,20096264
26010534,13461821
33051608,28864177
3209111,524804
96687025,90652
35167231,22045611
61162921,21426700
80440312,6636898
2603194,55
48236351,20891188
33683747,10998645
47136040,3207718
20160737,8127
10388901,9450327
53782227,1142
94345261,2184
67804397,15554578
81215606,7976200
75359295,10502
54125560,18196222
168047,634
43439,202
17157103,10313229
20356455,13981
60315658,15889688
102222764,26148826
1874700,7770
45585573,900
11215591,9626183
