id,date_created,date_resolved,days_resolution
49295353,2017-05-12 15:59:22 UTC,2017-10-09 22:48:55 UTC,150
49295353,2017-05-12 15:59:22 UTC,2017-10-09 22:48:55 UTC,150
92576247,2018-12-13 15:12:11 UTC,2018-12-17 12:14:56 UTC,3
21023625,2015-08-24 11:06:57 UTC,2015-08-25 03:12:08 UTC,0
69177388,2018-03-15 12:46:46 UTC,2018-03-29 11:03:22 UTC,13
21011764,2015-02-20 17:51:23 UTC,2015-08-23 18:58:15 UTC,184
59528939,2017-10-29 19:52:53 UTC,2018-03-21 04:59:15 UTC,142
48691363,2017-05-02 22:23:34 UTC,2017-08-27 13:55:11 UTC,116
11545247,2014-09-11 14:40:09 UTC,2015-04-25 01:01:16 UTC,225
30792166,2016-04-26 16:35:40 UTC,2016-10-07 04:35:09 UTC,163
49094635,2017-05-09 18:48:48 UTC,2017-05-15 03:58:48 UTC,5
69483339,2018-03-19 18:59:54 UTC,2018-07-19 20:30:41 UTC,122
1638261,2013-02-22 09:55:27 UTC,2013-03-15 10:37:41 UTC,21
59052336,2017-10-23 13:05:35 UTC,2017-10-29 07:27:43 UTC,5
59052336,2017-10-23 13:05:35 UTC,2018-01-06 07:51:13 UTC,74
59052336,2017-10-23 13:05:35 UTC,2017-10-29 07:27:43 UTC,5
59052336,2017-10-23 13:05:35 UTC,2018-01-06 07:51:13 UTC,74
25190033,2015-12-18 16:21:56 UTC,2015-12-31 17:02:19 UTC,13
6063185,2013-11-25 20:48:13 UTC,2014-03-11 16:16:33 UTC,105
59214557,2017-10-25 08:36:09 UTC,2017-11-10 09:22:16 UTC,16
87066926,2018-10-18 18:35:27 UTC,2018-10-19 22:43:59 UTC,1
64546466,2018-01-14 16:26:42 UTC,2018-02-06 01:46:39 UTC,22
58871137,2017-10-20 10:01:13 UTC,2017-10-24 16:15:46 UTC,4
641645,2012-08-27 22:50:19 UTC,2012-09-18 21:59:32 UTC,21
25918694,2016-01-11 23:03:25 UTC,2016-01-17 13:23:20 UTC,5
80526216,2018-08-05 16:56:36 UTC,2018-08-07 13:43:59 UTC,1
44714918,2017-02-24 20:01:34 UTC,2018-12-29 22:39:46 UTC,673
25159376,2015-12-17 21:14:43 UTC,2015-12-18 15:07:15 UTC,0
80956876,2018-08-10 10:42:31 UTC,2018-09-07 05:59:21 UTC,27
39857904,2016-11-18 20:49:05 UTC,2016-11-26 08:21:29 UTC,7
16189415,2015-03-16 01:03:22 UTC,2015-03-30 13:30:03 UTC,14
641765,2012-06-13 20:13:39 UTC,2012-08-17 22:10:52 UTC,65
40635238,2016-12-05 01:00:40 UTC,2016-12-07 14:54:15 UTC,2
80768788,2018-08-08 11:14:53 UTC,2019-01-16 17:20:32 UTC,161
80768788,2018-08-08 11:14:53 UTC,2019-01-16 17:20:32 UTC,161
63835449,2018-01-04 09:51:38 UTC,2018-03-08 15:31:49 UTC,63
50155971,2017-05-29 16:00:49 UTC,2018-05-23 20:30:21 UTC,359
25302655,2015-04-20 09:43:38 UTC,2018-07-30 10:21:21 UTC,1197
58782028,2017-10-19 10:19:09 UTC,2018-04-23 06:31:06 UTC,185
80327646,2018-08-02 15:49:03 UTC,2018-08-08 17:09:25 UTC,6
49122616,2017-05-10 05:49:07 UTC,2017-05-19 10:50:21 UTC,9
49122616,2017-05-10 05:49:07 UTC,2017-10-16 20:32:38 UTC,159
49122616,2017-05-10 05:49:07 UTC,2017-05-19 10:50:21 UTC,9
49122616,2017-05-10 05:49:07 UTC,2017-10-16 20:32:38 UTC,159
54550273,2017-08-13 12:22:06 UTC,2017-09-07 11:15:22 UTC,24
641829,2012-05-18 10:31:41 UTC,2013-05-09 21:38:32 UTC,356
641829,2012-05-18 10:31:41 UTC,2013-05-13 15:06:27 UTC,360
641829,2012-05-18 10:31:41 UTC,2012-05-18 13:53:50 UTC,0
641829,2012-05-18 10:31:41 UTC,2013-05-09 21:38:32 UTC,356
641829,2012-05-18 10:31:41 UTC,2013-05-13 15:06:27 UTC,360
641829,2012-05-18 10:31:41 UTC,2012-05-18 13:53:50 UTC,0
641829,2012-05-18 10:31:41 UTC,2013-05-09 21:38:32 UTC,356
641829,2012-05-18 10:31:41 UTC,2013-05-13 15:06:27 UTC,360
641829,2012-05-18 10:31:41 UTC,2012-05-18 13:53:50 UTC,0
641829,2012-05-18 10:31:41 UTC,2013-05-09 21:38:32 UTC,356
641829,2012-05-18 10:31:41 UTC,2013-05-13 15:06:27 UTC,360
641829,2012-05-18 10:31:41 UTC,2012-05-18 13:53:50 UTC,0
20702014,2015-08-13 13:08:27 UTC,2016-02-22 22:29:12 UTC,193
20702014,2015-08-13 13:08:27 UTC,2015-10-03 12:30:24 UTC,50
20702014,2015-08-13 13:08:27 UTC,2016-02-22 22:29:12 UTC,193
20702014,2015-08-13 13:08:27 UTC,2015-10-03 12:30:24 UTC,50
54091504,2017-08-05 02:32:02 UTC,2017-10-12 03:47:39 UTC,68
39315028,2016-11-08 19:03:52 UTC,2016-11-12 20:51:45 UTC,4
105188421,2019-04-19 15:19:49 UTC,2019-04-23 01:28:31 UTC,3
