id,gh_id,label,repo_id
23176544,5579,easy,29
20423909,5111,easy,29
22376928,5451,easy,29
25263320,5845,easy,29
21276630,5288,easy,29
20612426,5162,easy,29
22826496,5540,easy,29
25217228,5838,easy,29
25478121,5896,easy,29
20259820,4802,easy,29
21537663,5326,easy,29
22564786,5481,easy,29
27343832,6110,easy,29
5375278,350,easy,231
5415752,351,easy,231
2308663,262,easy,231
6124874,331,easy,231
2270924,251,easy,231
5064379,334,easy,231
17253427,592,easy,231
443385,121,easy,231
192172,2077,starter bug,392
5351406,5479,starter bug,392
51051736,13437,starter bug,392
192176,2078,starter bug,392
4906501,5081,starter bug,392
7437031,6847,starter bug,392
46468272,13227,starter bug,392
2326851,3889,starter bug,392
15128965,10555,starter bug,392
9053309,7850,starter bug,392
12923706,9933,starter bug,392
8916768,7723,starter bug,392
1051470,2270,starter bug,392
3438100,4762,starter bug,392
14005360,10281,starter bug,392
22207725,11763,starter bug,392
3499162,4883,starter bug,392
8695422,7579,starter bug,392
250136,1406,starter bug,392
12051650,9476,starter bug,392
249970,1508,starter bug,392
3402440,4772,starter bug,392
12000192,9451,starter bug,392
252228,785,starter bug,392
2173122,3648,starter bug,392
10254512,8385,starter bug,392
12134135,9529,starter bug,392
10705721,8650,starter bug,392
9130317,7905,starter bug,392
3221502,4580,starter bug,392
7765650,7043,starter bug,392
36295439,12766,starter bug,392
3430634,4784,starter bug,392
50509274,13416,starter bug,392
250796,1100,starter bug,392
15159574,10559,starter bug,392
249914,1561,starter bug,392
4838403,5005,starter bug,392
8898606,7716,starter bug,392
249280,998,starter bug,392
251499,1028,starter bug,392
54775219,13617,starter bug,392
249088,1916,starter bug,392
15967688,10717,starter bug,392
42815367,13057,starter bug,392
13707857,10166,starter bug,392
249302,850,starter bug,392
250254,1364,starter bug,392
9748216,8211,starter bug,392
7632865,6970,starter bug,392
5898075,6012,starter bug,392
5163632,5356,starter bug,392
13625510,10106,starter bug,392
8345003,7365,starter bug,392
249457,1972,starter bug,392
44989020,13134,starter bug,392
4992819,5175,starter bug,392
5497444,5603,starter bug,392
2485241,4137,starter bug,392
249874,1604,starter bug,392
1403313,2713,starter bug,392
46240300,13209,starter bug,392
1100221,2216,starter bug,392
7300281,3269,starter bug,392
2364476,3974,starter bug,392
15355101,10611,starter bug,392
7280063,6783,starter bug,392
3100799,4446,starter bug,392
13856249,10228,starter bug,392
2352621,3950,starter bug,392
95906,1976,starter bug,392
36218510,12765,starter bug,392
8145676,7280,starter bug,392
39399143,12892,starter bug,392
3299647,4638,starter bug,392
10848125,8712,starter bug,392
14383321,10362,starter bug,392
12646795,9785,starter bug,392
250598,1243,starter bug,392
11573902,9086,starter bug,392
1489239,2823,starter bug,392
7409767,6822,starter bug,392
45615,2047,starter bug,392
4892549,5072,starter bug,392
7656386,6987,starter bug,392
21745742,11709,starter bug,392
12127890,9528,starter bug,392
9673398,8150,starter bug,392
6379109,6252,starter bug,392
250600,1241,starter bug,392
10079031,8331,starter bug,392
2364755,3976,starter bug,392
8826932,7667,starter bug,392
3116173,4454,starter bug,392
8113146,7251,starter bug,392
6870832,6587,starter bug,392
14289077,10341,starter bug,392
3498153,4880,starter bug,392
249139,1727,starter bug,392
10729122,8665,starter bug,392
2188538,3720,starter bug,392
4889141,5059,starter bug,392
7060677,6721,starter bug,392
3263625,4602,starter bug,392
7434072,6835,starter bug,392
7278098,6780,starter bug,392
3231006,4585,starter bug,392
707737,2244,starter bug,392
4900136,5077,starter bug,392
24643190,11953,starter bug,392
13218634,9974,starter bug,392
