label,num_issues
Beginner,18
Easy,1325
Easy to Fix,401
Easy to fix,19
Good First Bug,75
Good First Issue,119
Good First Task,64
Good first bug,1
Good first issue,132
Good first task,172
Help Wanted (easy),1
Low Hanging Fruit,39
Low hanging fruit,18
Minor Bug,137
Newbie,146
Up-For-Grabs,100
Up-for-grabs,28
beginner,554
beginner-task,7
easy,2251
easy-pick,65
first timers only,22
good first bug,483
good first contribution,297
good first issue,4315
good first task,22
good-first-bug,4
good-first-issue,309
low hanging fruit,990
minor bug,375
minor feature,120
newbie,245
starter bug,149
up-for-grabs,1302
