id,num_devs,num_comments
19052701,4,18
59686065,3,12
82025148,5,25
50335858,2,2
17345182,3,4
33525082,2,2
7576928,3,8
66870433,2,7
33885827,2,7
86608064,6,8
10925499,7,43
68539739,4,14
45030103,2,2
37569827,2,6
73120071,8,9
34037710,4,5
68601932,7,34
46328836,3,6
43924299,3,3
34657268,9,24
48020828,3,6
76754000,2,4
56204621,5,19
44884096,3,14
92707075,10,37
92770035,7,16
69160976,3,3
36135364,12,25
56562247,28,89
17732052,4,4
27813266,4,44
73375392,6,19
29427921,4,4
52212751,3,8
97759976,1,1
41786858,5,6
67483321,1,2
32724406,4,9
17891941,4,6
48989427,1,2
60479073,7,120
25030153,5,13
28508209,4,10
92796132,6,14
40208633,8,30
37457928,9,11
70051516,7,17
43291791,8,40
9041785,9,19
20671553,8,15
16668804,13,26
37805520,2,2
13365856,2,3
22296671,2,4
713197,4,6
55956834,7,46
8287476,2,2
8028083,2,3
14749329,5,26
68573177,5,12
60486951,4,15
70731700,7,17
86941454,2,2
14863563,3,5
14881744,5,16
57270378,11,33
713587,5,56
54427070,12,17
79965219,6,13
86013377,8,38
40929102,9,20
85481243,3,6
46918108,8,26
20845916,2,2
14306366,4,8
21206532,4,7
98501656,6,7
32393445,5,31
37812287,3,7
38405549,1,4
87138357,3,5
72728631,6,16
19748587,4,4
251863,3,6
27330853,6,13
81538308,6,11
59613972,4,16
713545,4,13
24450077,11,23
88315506,4,8
45752411,8,38
37906050,5,10
44032933,5,17
63300480,4,15
24701380,5,15
18744966,10,20
8301929,2,2
91990354,4,14
17299309,3,8
44872911,33,41
33902528,3,3
78616830,7,13
28149138,6,12
68367786,4,7
92340179,4,18
1676525,14,23
34533746,7,28
45161935,3,3
52521139,4,7
5908216,24,33
40186867,2,3
77598916,2,5
15184556,5,30
48744169,6,10
83064458,2,2
21506282,4,4
50183453,5,9
86283122,3,6
41365214,3,5
23070010,8,13
60383715,6,16
12743939,2,2
1100221,3,4
24827351,6,12
29463836,5,9
31265894,8,142
60186696,2,2
51724582,7,15
52032212,3,6
92251566,5,15
13711161,5,5
8113146,9,13
28002497,4,23
28412086,2,3
16317504,35,53
75143184,8,14
37871256,3,7
250796,7,14
1835034,9,23
67933478,11,26
17624977,6,13
31248426,2,2
641536,3,9
37787080,6,13
82537854,30,162
33882582,3,9
23854905,5,15
93183633,2,2
15791,16,19
16667944,5,8
21368984,3,7
52554571,3,6
45074620,7,29
63484305,1,5
24796075,5,8
59431633,8,8
43455906,10,23
82921972,8,18
58335689,2,6
63945971,8,10
59781822,5,6
78661250,6,74
36828479,1,3
37219819,4,6
20763709,6,12
72853291,3,5
52833120,2,3
24409902,5,10
17025409,4,12
22752791,2,10
4892549,3,6
6953262,6,20
77406495,2,5
97798190,4,4
36578962,5,16
74510805,4,6
23366455,3,5
12581753,4,15
29764168,5,16
82986168,8,16
104712486,2,2
85463397,4,8
34570692,7,32
2872175,4,6
82137743,4,10
7732140,9,16
24768080,2,3
34186439,3,4
20894248,3,4
33674399,8,11
25112629,6,16
86856858,4,6
1001652,10,34
37465429,4,17
78161153,2,5
50649057,3,4
23261851,6,26
71754442,5,18
48828154,1,1
36656569,4,9
40208108,3,9
49992163,4,8
713413,3,5
64129725,6,48
869329,4,10
54795487,3,3
67815209,7,12
68219806,4,13
40978531,5,10
39767306,2,5
44164386,5,24
3499162,2,8
30410888,7,17
81821786,3,17
63025744,6,14
11887269,2,6
87554037,5,13
39606468,2,3
8423501,3,6
3524202,6,13
28139136,3,3
27346018,3,32
2184156,3,5
60759168,3,10
27388662,3,12
12428425,1,2
23526734,3,9
97755722,2,4
64061270,4,14
23142494,4,42
27775946,8,9
40380032,6,12
21024134,4,16
92205461,2,4
65609649,11,16
63964673,7,15
87623775,6,18
104230152,3,22
53315879,3,3
20911894,2,8
27613076,4,14
61529031,19,57
21137313,2,2
44436420,7,19
76419102,3,6
86842732,3,3
44208498,3,19
20666841,77,88
103172981,2,4
64315655,6,6
60134194,3,6
69482617,2,3
89922465,4,13
68037115,3,5
713552,3,5
13372242,6,14
27120257,3,5
34715768,31,73
77570162,4,6
26569281,3,8
34382412,4,7
75204048,7,21
86570959,14,22
22207725,6,10
37166807,1,1
69476901,3,4
72089414,6,10
52170689,5,8
53628110,6,15
53512016,2,8
22513265,4,8
42427306,3,6
11586582,2,8
55906242,6,12
21848971,3,7
24878342,6,7
8676157,2,5
2991406,3,3
12289277,3,4
1607233,2,2
68446666,6,28
19929008,9,17
58994311,8,41
19272589,6,9
38958860,2,2
1513521,3,3
70237083,1,1
100531114,5,55
37676415,6,9
83647593,3,22
77672070,3,20
76667498,1,2
25922315,12,13
69353884,5,19
52991565,3,5
50155971,3,10
16314603,5,9
38920867,2,8
38560891,2,13
6726544,4,12
39448563,11,18
18112222,21,108
48279206,1,2
49450245,4,6
73302564,7,11
30993890,8,34
1870976,8,14
1937076,3,10
25852973,8,18
42617766,12,37
12620631,7,36
89091385,5,25
49853933,5,36
43036303,4,20
1440976,5,7
18681511,5,30
92591694,5,11
42586714,5,11
52728881,4,17
55446593,6,13
716637,3,10
38956473,1,2
22584133,10,58
55419170,20,62
24886181,2,4
25313122,4,14
105733942,16,52
16232341,2,6
5898075,9,21
47683867,6,13
42339552,5,5
79340211,4,18
12870077,4,16
3466922,4,13
64804936,3,5
78925214,6,17
56303235,9,25
30245926,5,10
53561456,3,3
21258592,2,6
61726675,2,3
94769619,3,4
1193707,4,19
100067607,5,18
69259511,1,2
57495876,7,30
9063171,4,10
24677180,3,5
15970912,9,24
5766491,3,13
27205780,33,144
34999844,4,11
45027752,2,4
12867180,2,9
98925054,4,29
1614831,2,3
16367157,3,3
60836301,3,4
31822731,5,7
25030150,2,11
16037540,3,10
83763033,3,4
50844423,5,26
79206369,5,7
31952749,2,2
70458914,5,5
80023661,4,10
9394684,2,5
1426746,3,4
45436030,4,23
57787886,12,23
88695203,22,112
32371445,13,23
61866638,3,44
20814277,3,4
65068959,4,40
65279414,5,20
19096600,4,6
49035219,5,8
21851298,5,12
56785925,2,7
21221195,6,9
7519168,5,9
61800445,6,13
5906347,3,5
100286463,6,8
45346905,2,4
16105817,5,14
40358600,4,9
5272111,3,6
70062432,3,5
69495865,3,5
58821108,9,20
15390275,10,14
38958671,2,4
58808215,3,15
85446240,7,17
25000084,4,4
6157488,11,38
58837405,9,24
38868569,9,29
8675310,2,3
9645098,1,1
25061783,5,7
61157639,4,11
61384580,2,3
16736459,4,7
59713708,2,3
53350684,5,8
22446371,3,8
19221296,6,22
70139575,5,11
88207184,4,10
28129184,4,6
20899671,6,10
22727650,6,20
22537595,6,11
79338531,4,7
74700622,2,4
41880698,2,3
21755029,2,3
25590467,1,1
12359188,13,20
72082720,6,10
54624486,6,9
2173122,4,9
19068603,3,11
21909365,2,5
56713022,3,6
68084961,6,130
19211860,2,13
28385369,5,24
12672561,3,5
1549218,2,7
43238352,3,4
80687905,7,34
78186638,4,6
32644038,2,6
49798223,3,8
52641649,1,2
41188714,8,26
48976258,4,7
107017943,2,3
14471081,2,8
65427024,5,8
53806334,5,16
107348535,3,4
56412089,5,18
68921578,6,13
70235390,2,2
45992469,4,28
36396119,3,6
26995405,1,1
1895043,3,13
53254509,4,11
5422950,5,9
72518014,3,4
12514246,13,74
34680962,2,3
24202500,1,2
25928450,14,20
3498153,4,8
31502914,8,15
64540488,3,6
14314686,7,16
51473857,14,25
32535412,4,8
30944665,7,13
53434662,2,4
21456249,4,7
32107659,3,5
45427332,9,46
94713078,3,6
63265218,3,18
30818039,7,10
78624968,10,41
33155051,8,10
78179949,3,7
45870500,11,24
41787383,5,9
56378545,3,11
42582448,9,19
8906190,12,30
86864588,8,16
45193918,5,16
77909294,6,11
56703424,4,8
87233612,4,11
1371518,5,7
79114013,3,14
4992819,3,12
12794007,7,19
2012192,2,8
2067354,2,16
57736378,6,13
63117446,4,13
53077934,4,6
2820299,5,9
16258597,6,8
25391275,2,4
41369575,7,12
20648945,3,6
34722769,6,17
69073586,3,8
6133215,6,32
13132963,7,14
39054035,2,6
42744554,3,3
92471660,4,4
64470916,3,5
33360882,5,7
27117888,5,7
21868068,4,14
25928259,5,31
18631896,2,5
35078154,2,2
4996182,15,54
37105931,3,16
74356607,3,16
17619137,5,18
5404735,10,34
49984102,2,4
1211158,6,18
37476036,3,10
29017529,1,2
12134135,7,22
16274446,6,13
61304357,3,7
45386779,8,50
9177030,4,9
56824442,3,9
21320734,3,10
4940144,2,10
71190585,5,22
96437722,2,5
56454103,3,3
5452746,3,11
49445506,3,4
61067312,2,4
44198381,2,5
29357172,9,10
8503397,6,10
2504600,5,8
70564764,5,26
19831390,49,65
103462649,2,4
42873137,5,9
16355680,11,90
36774373,17,39
62534410,1,3
2041701,1,1
100037568,2,8
38699221,2,6
1138352,3,4
25839599,3,32
29431836,7,15
85334904,4,4
51186745,8,26
53476212,3,8
65733642,2,4
13662318,11,13
54532869,2,3
25731285,13,15
2988591,5,16
19475516,6,19
51108607,7,28
30411044,3,3
62324258,4,6
38545172,1,2
34888944,1,3
65972695,3,8
66268858,1,1
17757552,3,8
2465579,5,9
6124874,5,9
43931708,5,16
16622119,9,12
19576601,5,8
52866219,10,22
22730045,7,15
713280,5,17
35053000,22,183
38050088,5,22
37724162,4,8
84101319,2,3
28114272,5,13
20623303,5,19
26982280,3,6
38570410,11,16
95009721,2,7
47546783,8,20
90201899,3,7
28522186,5,12
28466245,6,9
75675807,7,16
56149788,7,28
75207903,7,7
2456070,2,4
14231208,5,20
91967338,3,5
62454266,3,4
26024971,5,9
46903076,2,2
32774507,8,17
38337926,4,5
14464698,7,48
5209320,6,42
12991303,3,4
6298968,3,3
20435310,2,2
23776882,9,64
30616,9,38
69576389,6,11
22897725,15,90
3271313,5,14
62551096,3,4
106135945,6,14
10235487,3,4
10678009,6,25
71761117,5,6
16570341,35,268
43497079,6,16
43518936,9,27
50465703,6,12
45866253,4,5
32584148,2,3
10608213,2,5
3235564,3,4
47068523,10,284
85893366,3,27
26048780,4,5
62620502,6,12
16325908,7,27
44167666,8,22
22733383,3,6
66852418,4,20
33090983,7,10
36032492,6,13
58960171,7,16
30170841,3,4
17503002,2,2
6317349,2,4
99561412,5,7
716659,3,11
74203802,2,3
2060372,2,3
19552523,5,6
22541847,7,10
23353167,25,231
79662585,2,5
48355711,5,10
16252213,5,12
54896983,2,2
54069519,5,7
57826110,10,37
69953133,4,5
46604059,5,12
2989016,6,13
5518816,2,7
8149414,4,6
23068412,4,17
54075087,4,7
22729235,6,14
61997482,5,22
22620881,4,9
61901191,6,23
71216510,10,18
53571711,1,1
80437595,5,7
52035717,3,7
3116439,3,10
22457456,3,14
2819401,8,14
102749235,5,19
14536318,6,12
66191761,4,5
7423773,3,16
19807910,2,4
16622638,35,144
97375362,2,8
33196132,2,10
97394615,3,5
53115617,3,3
62483626,5,10
18373908,10,15
85009573,5,14
39859201,8,50
36591883,3,3
34608525,5,14
109027089,3,13
44098236,21,44
25166673,6,6
103126608,4,8
50442101,3,18
40070088,5,22
54991979,3,6
45049019,7,30
41233290,5,21
46766054,4,42
97408357,4,5
65689416,3,3
57805201,1,3
29671982,2,2
66028613,3,5
9999787,6,15
58430237,6,17
23336998,4,7
10500293,3,13
75777103,3,4
72981430,5,12
52075392,3,5
22824620,4,5
36131804,3,6
71401621,1,1
49561200,6,9
47227499,6,6
47583032,5,23
20581045,3,5
21871123,9,72
14048378,2,3
22683602,4,6
17073949,5,17
12393449,6,8
3391933,3,6
96019872,3,14
50812662,3,4
39427627,3,7
32228393,5,18
22575790,6,6
65944258,5,26
57776688,7,11
105245191,1,1
64657410,8,34
58274121,4,14
13519319,1,3
44659213,4,7
54039580,16,56
32066387,7,26
51046322,6,20
62897997,10,21
52391870,4,6
55201874,12,23
23324764,4,8
70546395,4,9
16648549,5,7
35533878,3,3
84081304,1,1
7563385,3,5
67400947,8,11
10592480,9,17
16949898,1,4
26635799,9,12
74111613,6,13
67477483,4,12
35713827,2,2
41478017,2,2
86298403,14,32
81428762,7,18
26493977,1,2
54772467,3,3
92939514,5,6
1003719,2,2
58736031,3,11
22602878,3,7
56327791,7,26
59035629,6,6
10293661,2,2
10455227,1,1
19303254,7,12
21604467,13,38
72964495,2,5
22167591,7,16
17040800,3,9
19510300,9,33
15523410,47,416
84423437,7,14
82958108,4,24
2987007,3,4
13497659,5,5
75870625,3,3
9581297,3,6
54058510,3,3
10838985,2,3
67507320,7,11
16368783,2,26
46836227,2,3
66778667,4,5
14217998,3,3
1530520,3,6
37367445,6,10
72827940,5,7
44728777,4,7
25861626,3,9
36425446,3,7
59786607,2,4
43499528,14,44
16249896,4,5
17213269,12,27
63386095,3,5
26123085,6,9
23394500,2,6
19363061,19,71
19534049,7,13
30158918,4,16
72173001,3,3
75815960,2,2
22630517,5,12
63358557,1,1
26999596,1,1
16264518,5,9
5689296,4,7
15194708,2,2
81378227,3,4
7300281,7,16
26068379,4,9
2484915,4,11
87102474,8,38
5616426,2,3
56796997,9,29
22980615,3,7
66094648,4,7
28455435,2,11
39368972,3,7
32226839,21,31
27880020,1,1
75124623,10,18
44428368,6,7
23180786,3,4
7632865,4,5
62009006,2,6
61563919,2,7
2488170,11,116
67033731,2,2
53544438,4,5
67788089,6,44
86510848,3,7
16962742,4,12
67870962,2,4
3138493,5,13
58574564,2,4
65536173,4,8
53907668,6,28
5807235,3,12
63669945,3,5
32836359,3,3
66889578,3,5
10896766,2,2
57634848,3,3
86051296,4,4
82261183,8,11
14665206,4,7
26130117,4,7
59747246,15,88
21009670,2,2
77828951,7,42
47140,4,13
21822167,7,9
18367897,13,36
77805138,3,3
68750234,2,2
46929068,5,20
77549089,3,6
103258912,7,8
69864,2,5
328805,4,6
7290440,5,16
52291988,1,1
28249597,1,2
75105422,3,4
27696083,5,44
27432405,4,9
21039246,2,3
67981256,7,22
34409691,2,8
82582516,2,5
20639665,4,5
40465176,7,36
105425119,5,10
24017695,2,2
44447341,4,10
91853881,8,11
21257717,3,5
34429432,2,4
8340358,3,6
21130589,3,4
2540093,5,16
67472375,2,14
36945452,4,6
21745742,7,7
27641064,2,4
85380874,2,13
20958487,4,5
95737396,3,6
27846851,4,29
33804414,3,3
24409846,6,9
103794988,2,10
21162187,7,12
21273027,15,58
70897620,8,24
51456955,5,5
641980,2,2
67755474,22,32
44877202,3,19
35506580,3,8
40972697,3,6
41384208,6,11
30526028,4,5
39066713,9,12
27127848,5,26
17695778,3,9
30946251,4,6
45136020,4,9
251499,4,5
67869746,4,8
15695917,1,3
73318441,2,2
18437839,4,7
641856,3,7
713383,6,13
59772893,3,16
24303674,1,1
36231999,3,8
11545247,2,5
76505986,9,16
23204139,12,27
51646750,3,5
72686790,3,3
41318918,3,5
42788852,5,8
40580733,1,1
47978842,9,14
7639035,5,18
27980563,7,19
29335121,8,12
16899326,20,35
20862461,2,3
