id,num_subscribed
87468004,14
83478172,1
19639074,3
47697837,8
65378618,2
16622119,2
47263813,2
791378,6
51092631,10
100223963,11
35534305,1
30818039,5
6208954,3
37925116,8
81820442,3
42968100,2
23843302,2
4996182,12
45270913,3
18875489,7
88805423,1
23374708,1
52448413,2
15467251,3
84512181,2
21574397,14
15523410,35
31928214,4
58734446,6
68460810,4
41189499,16
33263293,12
46273265,4
55980130,8
18314046,6
43567648,2
38819599,1
19585646,6
69149741,3
8068179,1
37554087,8
41085040,4
68601932,9
16412276,2
75735684,1
59639397,5
4884678,4
73247298,1
16575657,4
27115245,15
8719856,5
16934109,7
27611766,1
55462498,1
71216510,37
3399819,2
29828746,1
47814309,8
42160759,1
36591220,1
21965420,1
23386805,1
25597275,2
41252963,1
64449295,5
26635799,5
33196132,3
26002662,11
7066186,2
59096793,4
103617291,1
28475113,4
101843539,1
22651607,5
59377372,2
64061270,6
84079944,3
84752188,3
19703946,15
56840822,2
87363395,6
40561203,8
44501825,16
91249779,6
77828951,6
66275,4
21940362,1
59986692,5
61217100,1
87647705,1
51506462,14
53553128,4
47373620,3
32355153,2
82194486,3
7347362,1
868050,5
32226839,7
17052403,2
20671438,3
24003699,1
22095000,2
43491458,5
15476848,1
97104483,3
12099194,1
29677134,4
97338162,3
100016310,1
56352143,12
46311971,3
30787457,2
19929008,10
4858697,1
54497020,4
20600360,2
4917213,1
37458248,27
51922011,2
19128374,4
41867202,4
50125031,12
52462358,4
61733518,4
59139973,2
36542199,3
20814632,4
16821282,4
22283286,4
53505966,1
53082298,1
54951318,16
72829093,2
78251269,7
68852489,5
43518936,7
16669922,1
39578642,2
40043573,5
641803,3
641688,2
20913332,1
56303235,12
69087253,7
45870500,5
37651882,4
93294809,2
20675610,9
791872,4
83737919,4
46752253,4
91985100,10
68224793,4
25839599,4
68571068,1
29839396,1
20648945,1
81950602,6
75578274,11
53077934,7
46084422,5
49510336,8
29505542,1
16795341,2
42815367,5
74111613,5
102383025,5
66465507,5
16230316,8
41986560,3
46948309,3
10324287,5
2872177,3
70201773,4
64180320,5
27860646,4
87506572,2
27119434,2
80147284,1
73181123,1
28205421,2
92414733,3
30583242,32
28414921,19
57667619,1
16633457,1
57496895,4
32336778,3
48831988,3
76785970,2
38243765,6
108475898,1
8517428,1
54217706,1
21175758,5
26054855,4
24310749,4
60698793,4
65808726,1
70931243,3
54733858,2
27993960,1
51186745,6
34657268,2
14091473,1
77999199,4
22933369,4
36656569,3
85815771,3
26132576,1
23282293,3
70155017,2
71175788,3
26351179,7
716631,10
55925946,4
108989658,1
30652919,2
21024939,1
46119293,1
78925214,6
25612640,3
103617960,2
28515292,5
76817698,1
92199379,1
107616514,2
21696785,2
50798361,1
25286798,2
25726594,3
44961464,21
28020752,3
80243228,5
54023615,1
3537897,8
81555009,4
92721753,1
32261064,2
250132,3
73279026,9
35465430,3
60849192,2
83979942,3
47524620,2
68335165,4
35078154,1
9159154,2
641955,5
16570341,17
31534846,4
84104364,1
791410,1
15194640,5
86091955,3
35758003,3
64678373,1
34736258,4
74656137,2
87102474,8
21439414,1
16367157,2
15014417,1
51523342,1
37259537,1
75360824,1
21773520,3
73301901,5
95023537,3
80206329,4
92707075,5
11325481,1
64125042,3
65781599,4
3279377,3
47000518,2
62296169,2
11820801,1
38800627,4
60978779,1
71198441,1
42343767,4
54888598,1
77739260,5
14193991,1
41311535,11
25575217,1
67141836,6
43343159,1
7479450,1
23353167,24
6252227,1
57270378,15
20098988,3
23931441,17
92672147,10
27872472,2
95436987,3
34948363,1
59660741,7
105802458,4
108232876,1
75235520,2
95617763,1
23373810,1
72981430,4
62613019,1
56278062,4
32627976,1
31249467,17
28624156,1
24373228,1
53850254,1
69300128,1
42960343,11
66355,3
13342796,6
20174249,3
68280211,3
61690835,15
29934632,8
40186867,1
61040066,9
14796003,1
34697562,6
42578101,4
91990349,3
1176654,6
52673490,7
27578954,1
44378448,4
2979974,2
5764395,3
102430641,16
67547450,3
56964886,5
69695859,4
63391252,6
249280,8
14728974,1
28327745,1
2991406,3
75815960,2
59324435,2
63734958,2
80842736,5
11057221,1
48119533,3
81951950,4
35410878,2
46567748,4
11138464,1
5874766,1
74869101,2
23022018,1
74899903,1
51036458,5
33360882,7
64211156,1
43881628,5
16485665,1
18491087,1
15748039,3
17076460,5
23255960,1
72211776,1
78284461,7
53000222,1
21254996,5
33113149,1
80052822,1
55219672,3
63025744,2
49590141,7
51456955,4
18624409,1
36422068,2
1606122,2
26369286,6
9954092,2
2523409,4
250797,5
63066567,2
27796029,2
27880284,1
37233708,4
57417460,7
9519691,4
20770508,1
83366338,1
89222590,2
35759971,2
82285578,3
45227486,6
69468656,14
9888301,3
22823390,2
99709309,3
28303285,1
3010258,1
14040938,1
74332744,2
60050654,1
15712998,4
67627791,10
37796069,7
24399191,2
26213209,1
86917301,1
26111618,2
28575159,4
49919856,9
93851549,3
5973781,5
2872206,6
14594726,1
52557757,4
65156067,1
28983639,2
50609315,5
65933906,9
14314686,8
85446240,6
77262832,6
24202146,3
32867339,3
105059841,3
10252313,2
26904072,1
100195544,4
15916307,1
31332217,3
5680889,1
11552682,1
48341131,1
21259390,4
36044138,11
8916768,9
24098737,3
22537595,3
68789856,1
33769090,9
49965590,24
78101577,5
23340732,1
18378011,4
76747423,4
30993890,4
96650041,8
12779688,1
28748107,5
29760081,2
28289347,5
59402802,30
46388201,8
61563919,3
22134335,10
32468033,8
69636352,16
99638169,8
1311872,5
