repo_id,num_gfi,num_issues,ratio
29,13,6766,0.0
231,8,807,0.01
392,149,14881,0.01
431,1,934,0.0
581,17,14872,0.0
608,1,1417,0.0
634,60,32397,0.0
853,11,11971,0.0
864,74,16334,0.0
937,6,3291,0.0
961,31,11773,0.0
1173,36,3823,0.01
1182,8,1925,0.0
1372,3,782,0.0
1529,6,3176,0.0
1554,18,5865,0.0
1654,2,1493,0.0
1920,1,16775,0.0
2093,16,4068,0.0
2156,2,728,0.0
2184,2,25466,0.0
2281,1,9329,0.0
2968,3,1677,0.0
3031,9,846,0.01
3085,2,16374,0.0
3231,5,8116,0.0
3246,66,7774,0.01
3656,2,2057,0.0
3697,5,1628,0.0
3777,1,62824,0.0
4068,80,5832,0.01
4095,64,10157,0.01
4251,28,2138,0.01
4376,15,327,0.05
4735,3,2261,0.0
5022,49,805,0.06
5076,6,364,0.02
5142,25,2157,0.01
5219,968,14174,0.07
5455,8,20318,0.0
5754,5,1371,0.0
6026,7,10834,0.0
6093,89,32090,0.0
6301,22,3382,0.01
6368,27,5480,0.0
6806,17,8277,0.0
6830,25,5136,0.0
7058,1,2053,0.0
7266,16,3590,0.0
7537,79,6366,0.01
7770,25,2607,0.01
8127,105,14299,0.01
8195,42,2898,0.01
9384,65,5215,0.01
9422,61,5749,0.01
9427,5,9827,0.0
9793,408,13390,0.03
10045,18,14686,0.0
10070,21,11629,0.0
10502,97,2630,0.04
11117,73,4663,0.02
11638,114,5697,0.02
12302,8,1806,0.0
12455,33,4080,0.01
14098,890,14109,0.06
16232,5,1495,0.0
16729,11,1405,0.01
20096,11,17368,0.0
23052,19,4851,0.0
23203,43,24387,0.0
23569,3,1350,0.0
24397,6,4568,0.0
24444,117,6655,0.02
25991,20,8975,0.0
26624,2,5966,0.0
27142,45,6611,0.01
28297,4,625,0.01
29253,52,4101,0.01
29890,3,4111,0.0
30464,12,5497,0.0
31402,7,2813,0.0
31723,33,10802,0.0
34388,7,3345,0.0
36943,42,4674,0.01
38366,11,914,0.01
43061,85,4422,0.02
44428,26,4336,0.01
49032,17,5911,0.0
52463,1,2301,0.0
56659,4,1243,0.0
68508,5,415,0.01
96553,1,6804,0.0
101854,1,1839,0.0
103284,19,720,0.03
141694,2,552,0.0
143612,40,9086,0.0
149843,1,678,0.0
174642,29,10235,0.0
177326,2,5449,0.0
181023,12,10646,0.0
209466,1,1029,0.0
321869,60,11847,0.01
390637,1,387,0.0
417939,104,6280,0.02
683351,38,3738,0.01
687922,31,5962,0.01
739410,5,1734,0.0
775774,3,1969,0.0
793139,43,1969,0.02
877535,3,2349,0.0
1001578,50,1667,0.03
1344612,42,3961,0.01
1354207,7,985,0.01
1356204,43,2063,0.02
1394906,85,3635,0.02
1420021,1,54,0.02
1459566,5,1061,0.0
1500988,1,601,0.0
1526285,4,764,0.01
1651970,1,430,0.0
1710214,1,2684,0.0
1845441,7,437,0.02
1877118,5,2201,0.0
1886174,3,845,0.0
1953978,31,4779,0.01
1992097,6,28184,0.0
1996840,376,6087,0.06
2249947,24,3254,0.01
2254769,1,12732,0.0
2257240,13,9108,0.0
2261072,9,20207,0.0
2363758,83,5611,0.01
2615807,52,1116,0.05
2696876,15,3131,0.0
2841644,3,721,0.0
2989453,39,10860,0.0
3128083,9,610,0.01
3217567,10,1726,0.01
3237506,1,320,0.0
3475441,69,3926,0.02
3601879,8,5836,0.0
3630462,36,949,0.04
3722347,1,5279,0.0
3825551,25,7096,0.0
3905191,209,15787,0.01
4104353,68,3350,0.02
4234273,13,3409,0.0
4276991,183,4807,0.04
4371013,102,8802,0.01
4391700,1,3684,0.0
4472440,13,1746,0.01
4489243,2,1611,0.0
4560965,87,5212,0.02
4563494,109,9647,0.01
4720390,5,1832,0.0
5049584,1,1745,0.0
5057272,5,2036,0.0
5179902,1,764,0.0
5216326,133,6949,0.02
5282855,5,2204,0.0
5465315,4,2885,0.0
5768596,192,9844,0.02
5800439,23,1102,0.02
5842750,2,454,0.0
6178378,26,3067,0.01
6193207,2,1505,0.0
6276214,48,1116,0.04
6312005,1,359,0.0
6401040,9,7087,0.0
6421472,30,5332,0.01
6488172,1,2630,0.0
6636898,4,4322,0.0
6705344,8,9715,0.0
6801328,1,7628,0.0
7034894,6,844,0.01
7115486,33,18920,0.0
7211958,37,1353,0.03
7212135,14,17173,0.0
7231843,1,916,0.0
7306035,3,586,0.01
7332776,136,12204,0.01
7431468,1,808,0.0
7653971,8,1603,0.0
7657266,11,3650,0.0
7704341,30,10178,0.0
7803564,2,3289,0.0
7941722,18,6568,0.0
8246028,76,4485,0.02
8449086,2,297,0.01
8592995,11,980,0.01
8645813,4,190,0.02
8818018,7,1100,0.01
8923565,5,876,0.01
8932041,20,5793,0.0
9025349,1,2562,0.0
9238699,40,5803,0.01
9289602,200,4356,0.05
9402294,19,3199,0.01
9570147,2,46380,0.0
9570828,13,1970,0.01
9614935,1,261,0.0
9626183,14,17543,0.0
9678863,120,8465,0.01
9789111,8,5744,0.0
10039226,34,15119,0.0
10230767,42,1316,0.03
10576004,11,11823,0.0
10804719,6,1261,0.0
10941284,129,31800,0.0
11065419,51,21211,0.0
11156150,93,5389,0.02
11313132,16,884,0.02
11461596,15,1362,0.01
11474326,23,4319,0.01
11620775,12,4591,0.0
11750891,149,9003,0.02
11794421,5,1706,0.0
12579794,3,1733,0.0
12682853,6,1454,0.0
12742227,1,1099,0.0
12752080,33,7998,0.0
12752196,44,2851,0.02
12999108,197,5357,0.04
13337190,1,1693,0.0
13345616,1,1738,0.0
13378441,559,37357,0.01
13424293,74,3477,0.02
13631210,4,5027,0.0
14294826,14,1783,0.01
14477484,250,35785,0.01
14771481,1,3291,0.0
14979838,21,2033,0.01
15022227,93,35879,0.0
15114954,49,2632,0.02
15196846,4,1762,0.0
15889688,181,24581,0.01
15915189,4,1250,0.0
15919481,15,3120,0.0
16273814,86,11670,0.01
16286325,2,7681,0.0
16351512,79,10154,0.01
16609427,7,1531,0.0
16792234,2,1946,0.0
16827424,1,5742,0.0
16922941,41,7341,0.01
17147581,25,1233,0.02
17296591,141,36671,0.0
17302013,27,10431,0.0
17302594,516,35910,0.01
17645532,64,4448,0.01
17647452,15,646,0.02
17692055,3,492,0.01
17904496,5,5635,0.0
17947867,2,3301,0.0
17954742,3,327,0.01
17991525,199,25200,0.01
18004957,11,2341,0.0
18022219,7,6167,0.0
18043005,13,1530,0.01
18089783,187,2377,0.08
18428995,2,429,0.0
18904813,68,3881,0.02
18975714,10,883,0.01
19388130,4,6726,0.0
19797023,21,4581,0.0
19911836,134,4517,0.03
20078281,311,28691,0.01
20281355,10,14660,0.0
20364539,3,2898,0.0
20374325,10,1443,0.01
20375442,4,875,0.0
20839830,12,3945,0.0
20861785,57,21255,0.0
20891188,15,14689,0.0
20931597,1,2371,0.0
21164391,3,1086,0.0
21170493,137,9025,0.02
21420256,2,463,0.0
21426700,229,14366,0.02
21483441,54,7985,0.01
21757775,4,531,0.01
22031163,39,1416,0.03
22042207,12,1482,0.01
22043615,1,545,0.0
22056630,8,342,0.02
22058259,2,1237,0.0
22084657,2,1939,0.0
22087354,16,2750,0.01
22091370,59,72304,0.0
22094578,1,485,0.0
22194311,1,1753,0.0
22214017,1,704,0.0
23238531,3,2276,0.0
23599187,10,8340,0.0
23710602,2,1233,0.0
24136388,13,1210,0.01
24136525,7,519,0.01
24139115,1,595,0.0
24158194,82,6801,0.01
24769903,20,1355,0.01
26047131,202,13485,0.01
26166110,1,5480,0.0
27217380,3,769,0.0
27261269,62,21881,0.0
27478957,2,4118,0.0
27601818,10,9754,0.0
28557277,9,29559,0.0
28858802,1,3275,0.0
28947324,245,75010,0.0
29128136,76,5266,0.01
29662323,41,5875,0.01
30500617,9,15923,0.0
30508301,6,9361,0.0
30893902,23,6188,0.0
30988985,2,1281,0.0
31322879,67,1131,0.06
37617757,6,1315,0.0
57334313,15,2342,0.01
64978016,3,1242,0.0
83460809,6,736,0.01
105757646,21,2410,0.01
128055892,4,270,0.01
