id,num_reference
39563706,5
37587505,52
76023139,5
66215404,3
99594804,22
64105601,15
16111103,18
10294743,7
1977768,2
9218359,1
30737763,4
25466813,10
71218342,15
59067917,9
49608778,4
84577586,10
26890712,24
3275901,39
97250499,6
55002487,4
18683931,23
32200600,5
17233976,5
1372112,11
1766014,11
98514210,9
3214836,2
18246969,14
57279505,3
30410888,5
66775805,33
75394665,54
13603889,5
16311392,4
52991565,6
109697236,14
66697390,15
101152747,10
16903129,3
41754721,6
53961535,5
11453519,7
71419212,10
18604524,4
27433131,5
62293863,4
13895853,7
88332695,11
25581491,6
1932524,7
104938834,7
16795345,7
87410598,18
32519498,6
94196072,9
2820476,3
59578997,5
65600366,5
20902479,7
8970327,4
91273251,11
45059581,19
54271972,20
18839727,10
18815158,17
36889222,28
14166495,2
42343767,11
37105931,24
38245215,3
42427306,8
54888598,5
62421423,25
27863883,3
64125042,9
95023537,11
53329720,8
90777074,7
15194841,5
185935,5
26791894,8
21937447,6
22154598,10
64599013,4
75360824,6
21773520,34
29890596,76
90550324,6
27916002,7
99249985,18
16618095,10
37236949,8
77739260,20
24955247,3
14193991,6
13381778,11
28492927,9
7055071,7
18598973,5
78723624,7
81359171,4
19614043,13
40863637,23
58825421,6
85307866,6
32538167,3
63315037,9
55801161,7
33677972,6
65760596,10
8386441,1
34383803,3
50695682,9
53141254,8
38800627,14
58338308,5
3528600,1
87233612,23
28674132,2
8622221,28
86332536,39
27702013,17
20824680,70
47000518,11
641685,3
52227440,14
6252227,4
57270378,95
3364496,1
84361844,5
27795577,6
56926588,9
24188450,10
17909725,5
10233224,1
41311535,21
28895485,6
7479450,3
36707543,3
31337855,6
69609201,7
49479670,9
71549682,10
79175351,120
55870706,18
75235520,10
2451987,1
68182601,11
12297833,2
82511254,8
105802458,15
40778209,22
25913685,6
7925758,9
108232876,6
23931441,66
100037568,2
98947662,9
38789744,4
39083645,3
13342796,22
37544644,4
38219138,8
23373810,4
72981430,14
24373228,6
42631901,9
69300128,5
67726912,3
42960343,34
48608590,11
17024317,3
31249467,30
27180694,22
15799771,7
57709052,24
32959900,6
32892621,8
74113050,8
62613019,4
45965800,4
13361030,15
46580302,16
33173675,9
23948854,8
61690835,22
21245455,24
49918686,6
102965252,9
59660741,31
72082720,30
83924041,7
24608385,7
2476746,6
21806647,20
13766905,4
29806389,41
47879648,36
58808215,17
1608011,5
69160976,5
70938352,11
12853505,13
34053411,4
21221195,13
23193318,16
45428046,4
81190732,31
58714671,9
64274287,5
85893366,81
81611738,12
5256512,1
55272321,9
26729864,7
13332096,8
34065729,6
50207699,8
22817481,4
9471373,1
8997385,4
61032138,49
51506084,8
2578534,6
52992170,5
41294680,10
36408614,4
19185723,3
97535232,6
20911020,13
26910786,6
54299927,7
21455092,11
192176,9
27808798,5
641982,2
31248767,12
72412326,5
97756265,5
12480160,20
26643895,6
16231047,21
36295439,20
3534511,7
104056469,3
3303614,6
22143018,8
25117209,5
46604059,22
29504785,7
22901037,9
791835,5
47679303,10
22775994,11
97287081,7
16169233,13
17151664,26
38777152,4
43283776,10
17902995,9
24710923,23
21313765,11
36542199,17
17797593,13
26479834,3
92933352,9
72264291,4
93968402,12
56352143,62
38298583,13
46311971,28
12099194,10
81016506,9
29677134,20
34932986,4
100016310,6
19622096,9
22095000,7
48772995,12
21996394,7
58770931,4
34499978,6
336520,4
43658552,2
28387699,5
26655470,12
22852154,6
20814632,11
42989887,6
58998856,5
48931704,4
80673571,6
8661394,10
28894170,7
27953439,10
19929008,37
4858697,25
56728048,11
52008791,7
94438474,4
66001800,28
50125031,19
52462358,15
791578,2
38316543,3
51922011,6
9914045,5
19128374,11
30983004,3
37458248,588
88207184,8
37554896,9
27589228,2
5644308,10
1700414,5
43625770,11
16156556,11
72829093,8
60750102,7
14475534,11
43491458,15
22584837,4
15476848,8
49001846,13
67496339,15
33417432,5
58134223,11
48984944,7
58288835,5
23504268,5
36177123,6
6595366,2
18966774,6
71889950,11
82587444,3
86608064,20
11127864,3
18287579,13
28469316,5
85592861,17
47957972,13
22069008,7
17038638,5
48491453,14
1489239,7
45019998,8
41472975,23
61180226,24
29335121,20
41752078,12
26199445,6
37080592,20
11060901,15
63881542,6
11446369,4
11550563,14
55534971,14
103126608,23
42940017,11
76596771,4
44171520,7
21540585,2
34782158,16
38983110,8
77115327,6
37843289,4
8382884,4
31822731,25
60882762,16
2033045,2
82375616,40
96019872,50
16944228,8
28412086,8
23251602,7
76510088,25
7751679,3
17865185,6
88917898,20
95362824,18
95465468,4
38390631,9
62261670,7
10334475,9
10660780,5
33803444,9
12254118,3
58919971,4
33452350,17
29188118,4
69260539,3
12813199,14
15184437,12
5651811,6
94316504,5
64277535,8
66502311,9
53650315,18
49012674,4
21853572,7
68488287,3
1611587,3
42583030,3
105041282,29
94162788,9
51625624,30
75656330,6
56277606,6
43217897,9
33840699,5
60598722,13
23551023,5
21909085,14
92649612,6
44859144,24
15899333,7
17189693,32
16223829,6
23979914,8
15914049,6
105621107,18
97278465,5
39803439,7
49388333,32
107993081,11
97003968,11
79880711,17
48339839,9
23837170,4
5452541,11
81544395,4
19912753,8
77087345,8
11925538,16
868188,6
102032227,14
60408981,7
25587578,5
43271951,6
46638524,23
2970989,2
3037525,2
84180916,17
61231548,21
84927766,2
73742393,4
103258912,8
88165982,5
10592515,16
58883931,10
44077127,8
81905015,11
1628622,3
40989717,5
20368778,32
78894531,9
21348769,39
93000997,6
74696135,5
3021988,16
58451027,6
70254067,10
83726864,6
20323144,5
63506770,5
97757134,5
19840759,24
251499,16
48251565,26
16190599,4
56897761,9
91404684,13
51116052,11
39399143,6
2273816,6
14981434,6
23659774,10
14281882,10
23531763,6
21911986,19
3398424,4
39332465,13
50116867,6
9749856,9
42936464,11
30778245,6
7410901,1
39612266,5
61212188,5
85446046,11
29221450,4
75640819,8
9164689,4
53476108,5
20581045,3
77155369,4
68557670,19
16642746,22
31967805,71
43683955,26
38849694,9
6121072,2
58670741,2
9016596,3
54903083,18
17607610,7
53521507,11
7563407,24
56618240,10
8145676,8
42583067,37
87987231,5
38237765,3
53405352,27
24099891,6
104044351,6
5766491,4
24395901,8
50812662,5
21204267,12
29810403,15
24370976,3
68254997,10
21862518,9
20862461,7
63645442,8
61248618,8
11770876,5
5107862,2
17433121,7
21025000,7
79122389,10
58800405,5
2866516,4
12610944,7
87756777,28
45161935,32
102318052,18
71107347,5
51468616,18
22050624,6
85444474,9
64907649,14
61743620,8
51986964,28
95862386,10
16719812,3
19293459,8
40426160,13
57736378,11
40201381,24
92161203,6
26457485,38
23230813,4
24426994,22
55027162,11
81953533,9
14618062,13
59390228,5
44742504,6
64914650,9
23146634,9
14172432,6
49002332,12
26688519,42
16291113,11
99638765,13
59142220,6
73258564,3
99296028,3
23336998,16
9113779,1
9786753,4
82736921,15
30176111,14
103906033,5
86051296,10
16364277,4
62324258,10
9699718,6
7037308,6
90486822,15
48920,2
97954046,7
43629664,5
6127040,4
30398608,6
20738452,6
50405293,6
27943169,22
63110690,16
81554654,5
61946899,10
59071865,4
32589921,52
17084348,5
49551901,11
49847197,14
21859392,5
22946077,16
37688764,11
36346965,11
12576556,27
83391981,30
29255034,4
77957739,32
3263625,26
49882501,7
5746373,2
15893161,7
12719654,5
104801395,4
25034768,12
3463742,1
3225537,7
54562092,10
69812520,22
99703002,16
25817842,34
18442106,32
32713128,6
52169187,4
791462,7
94713078,11
62079602,5
58635209,5
47869991,7
16530461,5
92262684,6
80273431,3
51936861,11
61535686,17
22921370,5
22689302,5
42561119,7
61062327,14
86510848,8
25418842,9
9890943,6
74655404,40
30941016,4
16484343,10
85817797,20
6801415,4
51880852,10
8830629,3
66401783,6
6221458,4
59791217,17
79721373,16
67054448,28
58863393,15
44801089,13
76875149,18
94229142,28
48634504,15
13746314,24
2138051,2
73295643,18
58248825,6
15569598,32
15716436,22
43660208,5
16684128,2
41832283,8
65263028,17
45847713,11
32066290,20
92936217,2
22608225,6
43642567,12
83070916,4
25787742,10
3399381,2
58130796,50
107920639,9
92591694,38
70636839,9
33584596,9
22785674,6
19985239,23
15723771,3
71883515,10
33882203,7
60442857,9
