id,date_created,date_resolved,days_resolution
52152921,2017-07-03 07:33:38 UTC,2017-12-18 10:53:11 UTC,168
3072344,2013-07-10 14:13:30 UTC,2014-02-12 17:10:13 UTC,217
51115216,2017-06-14 20:30:09 UTC,2017-07-18 18:57:43 UTC,33
39771694,2016-11-17 12:33:58 UTC,2016-11-17 14:31:45 UTC,0
19786075,2015-07-10 15:40:49 UTC,2015-07-30 04:52:27 UTC,19
49095232,2017-05-09 18:58:59 UTC,2017-05-10 23:57:05 UTC,1
43971644,2017-02-12 17:03:23 UTC,2017-05-12 21:43:54 UTC,89
36767563,2016-09-20 00:55:19 UTC,2016-09-21 17:56:10 UTC,1
37771690,2016-10-10 07:50:27 UTC,2017-07-08 05:00:01 UTC,270
30112401,2016-04-12 22:13:16 UTC,2016-05-18 12:19:01 UTC,35
45556556,2017-03-10 20:08:41 UTC,2017-03-17 18:15:46 UTC,6
52885596,2017-07-15 12:05:03 UTC,2017-07-15 15:19:43 UTC,0
27845866,2016-02-24 13:36:18 UTC,2016-09-19 09:26:13 UTC,207
17582111,2015-04-29 13:42:14 UTC,2019-04-24 16:18:20 UTC,1456
25213607,2015-12-19 08:25:22 UTC,2015-12-20 06:35:50 UTC,0
28020425,2016-02-28 12:04:57 UTC,2016-03-03 19:57:40 UTC,4
98323,2011-05-28 08:22:01 UTC,2011-05-28 08:22:40 UTC,0
6885277,2014-01-20 07:33:29 UTC,2014-01-22 12:31:06 UTC,2
17690170,2015-05-03 16:27:11 UTC,2015-05-04 22:41:47 UTC,1
310749,2011-05-06 23:43:18 UTC,2011-05-07 00:16:44 UTC,0
99376711,2019-02-23 01:57:01 UTC,2019-03-09 20:25:10 UTC,14
81511830,2018-08-17 09:34:38 UTC,2018-08-17 09:49:30 UTC,0
26332783,2016-01-21 15:23:03 UTC,2016-01-27 00:11:25 UTC,5
2017733,2013-03-26 13:53:03 UTC,2013-05-04 10:52:37 UTC,38
3075649,2013-07-10 22:03:48 UTC,2013-08-26 21:31:03 UTC,46
2217041,2013-05-07 14:31:45 UTC,2013-06-13 20:02:11 UTC,37
25364228,2015-12-24 00:52:51 UTC,2016-01-26 10:10:17 UTC,33
37737888,2016-10-09 09:33:49 UTC,2016-10-09 10:10:45 UTC,0
40278937,2016-11-28 05:40:07 UTC,2016-12-06 14:03:01 UTC,8
1425688,2013-01-29 18:44:30 UTC,2013-02-05 00:14:43 UTC,6
52708800,2017-07-12 15:32:40 UTC,2017-07-27 16:53:54 UTC,15
98509515,2019-02-15 16:32:59 UTC,2019-02-15 19:32:08 UTC,0
63113226,2017-12-20 10:31:57 UTC,2017-12-20 16:17:02 UTC,0
84644937,2018-09-24 09:13:31 UTC,2018-11-20 10:34:36 UTC,57
21752593,2015-09-15 02:28:52 UTC,2015-11-05 17:32:27 UTC,51
89175997,2018-11-08 19:03:42 UTC,2018-11-08 22:53:26 UTC,0
36392079,2016-09-12 09:14:55 UTC,2016-10-15 14:12:45 UTC,33
2274692,2013-05-13 06:12:21 UTC,2013-05-13 19:52:05 UTC,0
8621975,2011-08-29 12:46:15 UTC,2011-11-28 18:38:35 UTC,91
66916937,2018-02-15 06:21:59 UTC,2018-02-17 11:20:43 UTC,2
9307328,2014-05-29 12:46:14 UTC,2014-05-30 07:32:46 UTC,0
5428844,2013-10-16 18:29:15 UTC,2013-10-21 13:33:51 UTC,4
51817139,2017-06-27 08:57:14 UTC,2017-06-28 22:02:41 UTC,1
663133,2012-09-24 10:50:16 UTC,2012-09-24 13:21:47 UTC,0
107546274,2019-05-10 15:44:58 UTC,2019-05-14 23:09:16 UTC,4
734225,2012-10-03 20:37:17 UTC,2012-10-07 14:03:00 UTC,3
21019112,2015-08-23 23:03:59 UTC,2015-10-27 15:56:54 UTC,64
5241975,2013-09-25 11:17:38 UTC,2013-11-05 19:09:15 UTC,41
75766690,2018-06-06 09:13:34 UTC,2018-06-06 09:42:30 UTC,0
734391,2012-09-14 05:21:03 UTC,2012-09-14 13:44:25 UTC,0
11155002,2014-08-23 13:20:17 UTC,2014-08-23 15:48:50 UTC,0
80746169,2018-08-08 05:04:31 UTC,2018-09-10 20:10:34 UTC,33
902822,2011-08-02 12:31:19 UTC,2011-08-09 12:16:14 UTC,6
93392962,2018-12-22 08:01:25 UTC,2019-05-22 13:51:09 UTC,151
41758044,2017-01-02 02:27:35 UTC,2017-01-03 09:24:37 UTC,1
559870,2011-08-16 15:03:49 UTC,2011-09-08 20:52:08 UTC,23
50986723,2017-06-12 23:36:51 UTC,2017-06-18 12:08:01 UTC,5
30736476,2016-04-25 17:10:10 UTC,2016-04-26 15:44:22 UTC,0
74348600,2018-05-19 22:18:15 UTC,2018-12-06 15:08:51 UTC,200
34676236,2016-08-04 21:25:21 UTC,2018-04-27 17:49:46 UTC,630
54744249,2017-08-16 15:35:09 UTC,2017-08-28 09:45:39 UTC,11
4912821,2013-09-03 21:18:43 UTC,2013-12-10 20:39:32 UTC,97
41379111,2016-12-21 19:47:34 UTC,2017-03-06 12:07:41 UTC,74
3539971,2013-08-27 05:15:08 UTC,2013-09-25 22:25:35 UTC,29
5932886,2013-11-18 17:15:51 UTC,2013-11-24 19:10:37 UTC,6
46665942,2017-03-29 10:50:43 UTC,2017-04-25 15:33:38 UTC,27
2476028,2013-06-06 07:01:08 UTC,2014-12-30 08:36:23 UTC,572
23644514,2015-11-08 16:22:38 UTC,2016-02-13 15:36:49 UTC,96
71887705,2018-04-18 18:46:10 UTC,2018-04-21 02:43:01 UTC,2
35575054,2016-08-24 21:22:23 UTC,2016-09-14 04:35:59 UTC,20
61255659,2017-11-22 18:18:16 UTC,2017-11-24 07:53:27 UTC,1
10073805,2014-07-07 11:33:31 UTC,2014-07-07 11:36:44 UTC,0
30167820,2016-04-13 20:48:54 UTC,2016-04-13 20:49:30 UTC,0
48885038,2017-05-05 19:15:08 UTC,2017-05-05 19:47:26 UTC,0
69266894,2018-03-16 12:24:05 UTC,2018-03-20 15:49:56 UTC,4
6881437,2013-06-02 05:25:00 UTC,2014-01-19 22:48:15 UTC,231
65979232,2018-02-02 11:57:24 UTC,2018-02-02 15:41:08 UTC,0
14044893,2014-12-29 16:08:04 UTC,2014-12-29 20:51:38 UTC,0
35596500,2016-08-25 09:14:51 UTC,2016-08-30 22:13:08 UTC,5
5032597,2013-09-18 02:54:45 UTC,2013-11-09 22:13:59 UTC,52
27824746,2016-02-24 02:50:35 UTC,2016-03-05 09:49:10 UTC,10
44151,2012-09-05 12:47:41 UTC,2012-09-10 12:21:24 UTC,4
42705133,2017-01-20 04:12:06 UTC,2017-02-02 10:18:54 UTC,13
11546831,2014-09-11 15:57:48 UTC,2014-09-23 08:13:49 UTC,11
31796041,2016-05-13 19:01:34 UTC,2016-05-13 22:57:15 UTC,0
52695024,2017-07-12 11:51:51 UTC,2017-07-12 12:03:06 UTC,0
73492428,2018-05-09 07:29:28 UTC,2018-05-09 07:55:13 UTC,0
6668693,2014-01-05 09:18:06 UTC,2015-04-21 06:37:50 UTC,470
264046,2012-03-13 08:46:31 UTC,2012-03-17 19:27:46 UTC,4
31425980,2016-05-05 18:14:38 UTC,2018-06-21 15:22:35 UTC,776
14493518,2015-01-16 18:09:57 UTC,2015-01-16 19:04:46 UTC,0
50253759,2017-05-31 06:39:22 UTC,2017-07-08 05:00:25 UTC,37
14364210,2015-01-12 07:26:55 UTC,2015-01-15 06:21:38 UTC,2
78711363,2018-07-13 09:48:10 UTC,2018-08-12 22:55:38 UTC,30
36753136,2016-09-19 19:09:14 UTC,2016-09-24 19:00:40 UTC,4
51430738,2017-06-20 16:16:30 UTC,2017-10-25 14:57:10 UTC,126
36606992,2016-09-16 05:11:07 UTC,2016-09-26 04:18:13 UTC,9
24305631,2015-11-26 13:55:18 UTC,2015-12-22 14:39:18 UTC,26
19960237,2015-07-16 04:04:31 UTC,2015-07-16 04:22:31 UTC,0
174982,2011-06-23 11:15:53 UTC,2011-06-29 15:45:23 UTC,6
62994364,2017-12-18 12:35:05 UTC,2017-12-18 13:06:12 UTC,0
28162194,2016-03-02 10:57:53 UTC,2017-05-20 08:59:37 UTC,443
12634348,2014-11-02 15:15:45 UTC,2015-01-21 11:54:47 UTC,79
173735,2012-05-21 14:57:46 UTC,2012-05-21 15:09:39 UTC,0
28871834,2016-03-17 09:41:01 UTC,2016-03-17 12:47:37 UTC,0
88291345,2018-10-31 00:37:44 UTC,2018-11-02 12:02:20 UTC,2
67856794,2018-02-27 17:38:43 UTC,2018-05-10 17:59:46 UTC,72
1493386,2013-02-09 09:29:48 UTC,2013-03-12 20:34:44 UTC,31
49077739,2017-05-09 14:16:06 UTC,2017-05-11 11:17:21 UTC,1
162377,2011-09-13 17:20:27 UTC,2011-09-18 05:41:35 UTC,4
42898985,2017-01-24 01:32:39 UTC,2017-01-29 23:22:31 UTC,5
36740598,2016-09-19 14:27:15 UTC,2016-09-19 14:35:03 UTC,0
25978914,2016-01-13 05:46:42 UTC,2016-01-14 22:02:37 UTC,1
21392322,2015-09-04 18:34:50 UTC,2015-10-06 18:23:02 UTC,31
96262660,2019-01-25 15:25:01 UTC,2019-02-13 10:15:35 UTC,18
8884089,2014-04-30 12:18:16 UTC,2015-10-23 12:05:56 UTC,540
33549894,2016-06-27 18:52:06 UTC,2016-08-05 11:58:50 UTC,38
22502640,2015-10-08 07:06:49 UTC,2015-10-08 22:25:41 UTC,0
19558504,2015-07-31 05:33:01 UTC,2015-11-04 17:33:47 UTC,96
43647327,2017-02-08 03:36:01 UTC,2017-02-08 23:37:47 UTC,0
18246248,2014-09-07 08:37:44 UTC,2015-05-27 05:27:04 UTC,261
9386869,2014-06-03 09:17:42 UTC,2014-10-02 16:31:10 UTC,121
17445291,2015-04-24 17:25:28 UTC,2015-04-25 05:14:53 UTC,0
11963220,2014-10-03 15:08:57 UTC,2014-10-03 15:25:25 UTC,0
74889987,2018-05-26 11:22:58 UTC,2018-05-26 16:35:52 UTC,0
15076744,2015-02-06 15:39:08 UTC,2015-02-10 21:23:30 UTC,4
14849853,2015-01-29 19:07:29 UTC,2015-01-29 20:24:34 UTC,0
12837983,2014-11-12 16:04:58 UTC,2014-11-18 15:54:54 UTC,5
11984035,2014-10-04 11:56:35 UTC,2014-10-04 21:26:09 UTC,0
17424121,2015-04-24 03:50:13 UTC,2015-04-26 14:28:25 UTC,2
80238907,2018-08-01 17:09:51 UTC,2018-11-09 12:41:47 UTC,99
20614235,2015-08-10 04:52:26 UTC,2015-08-10 13:39:33 UTC,0
5207169,2013-09-30 10:56:06 UTC,2013-10-09 13:02:52 UTC,9
21140783,2015-08-26 13:51:39 UTC,2016-03-28 17:00:26 UTC,215
44553421,2017-02-22 13:39:24 UTC,2017-02-23 00:48:12 UTC,0
56882931,2017-09-21 09:37:16 UTC,2017-09-28 18:08:15 UTC,7
12523800,2014-10-28 21:46:07 UTC,2014-10-29 21:21:53 UTC,0
54036744,2017-08-04 05:18:05 UTC,2017-08-06 02:28:48 UTC,1
15999004,2015-03-08 20:49:28 UTC,2015-08-11 20:45:10 UTC,155
47111922,2017-04-05 14:46:57 UTC,2017-04-07 10:11:53 UTC,1
5165737,2013-09-26 09:36:30 UTC,2013-10-07 02:50:43 UTC,10
54290825,2017-08-08 22:07:59 UTC,2018-01-11 05:00:13 UTC,155
