id,num_devs,num_comments
8528,3,9
24460596,7,15
3549251,7,9
29384366,4,19
46307871,4,5
11280775,3,9
11335047,17,28
37023408,8,19
37013189,3,9
25973641,12,21
92509661,3,5
8027085,6,24
753819,4,9
5896035,6,27
41105336,2,2
27796760,2,5
994218,2,3
98279888,3,3
31670565,2,9
34526525,5,65
77260714,7,23
22035007,4,5
28080901,5,8
158025,2,59
77187352,4,16
77567942,2,3
12297401,5,29
24046360,2,4
30637436,2,9
48223407,2,2
34232314,2,5
10053603,4,11
11286852,3,4
51829676,3,6
78273047,6,21
103355939,5,5
743482,9,19
761281,2,2
764010,2,2
15389349,3,17
11573335,1,1
12139658,4,11
788539,2,4
1116247,2,3
16937121,2,8
87985913,1,1
21359605,4,10
48638139,4,8
73090626,6,11
41641425,3,3
28362467,3,5
181229,4,13
262485,2,37
337356,1,9
27226575,2,2
24801121,7,16
3498214,1,1
80638445,6,26
84850167,14,30
12635631,8,27
14850960,2,4
30518491,3,9
11203937,2,4
11551950,2,2
20911857,5,13
17988215,2,2
7838205,3,8
752561,7,125
999600,6,14
82034606,12,40
30990347,4,6
8437072,1,1
35406401,2,2
35944309,2,3
25762614,15,19
105061666,2,2
92647432,3,3
83001,2,6
91072,4,17
30161524,5,9
47948559,2,3
11294429,4,6
11572172,3,6
59827256,2,2
20761634,4,8
17861684,6,17
51756976,2,6
92857993,2,3
623913,2,3
742878,3,3
746526,25,80
772516,2,16
781076,2,13
63792132,4,17
24811368,1,2
12147106,2,3
27284186,6,8
18354989,2,4
21321193,2,2
48640005,9,73
44412179,3,23
34118172,3,9
1232523,7,12
37488792,2,4
52343210,5,7
52420805,3,3
104445193,3,8
99416649,2,2
54897375,8,110
1051,2,17
27315,3,10
331952,3,5
25494106,9,36
3236623,2,4
3465340,3,6
15001856,8,19
40863920,5,26
68180957,4,9
734668,3,5
781952,7,17
63062531,6,18
9664147,13,18
25443423,4,10
821104,3,3
21151184,2,20
21426920,3,8
30955231,3,4
31452611,1,2
34300402,4,5
37195164,7,16
129046,3,9
149335,5,10
207983,5,12
1140,9,23
