id,num_mentioned
34254973,15
35262613,13
1645479,3
25075006,2
7838205,7
28810155,7
65713467,11
129046,4
25428834,3
22141729,4
32541427,3
77683759,292
34042072,62
746526,28
87344291,9
24836341,9
46285132,7
34148960,3
19959223,25
25736450,1
25554531,9
21689629,3
45386036,1
13358102,11
7319645,2
97245798,46
70468207,2
45143657,1
54454465,13
63036421,5
7104144,1
6583602,2
81493560,4
46209,16
43566282,2
30015682,1
37037973,2
70947338,2
27133927,14
62694918,2
7405190,3
77388757,1
30345915,32
48503520,2
27021660,1
76883915,2
976,8
42198951,14
25175796,4
41557069,16
12323611,1
7406325,3
53093693,4
13297110,2
42971811,19
10436,9
80709424,11
88218335,8
39545547,11
181229,16
39354013,10
24231285,11
17039141,6
181067,3
49596054,1
7820300,2
24654580,7
65032164,3
22294235,7
14252341,6
15739717,12
49335501,17
39785704,4
712293,6
58819498,3
37071029,10
81278929,6
25762840,2
52223195,3
1866370,4
88579830,6
29702872,1
48640005,74
11335047,10
45334746,15
52129241,1
11315956,6
22531746,12
132630,5
1966482,5
19801263,1
162742,11
30409726,2
25852942,3
33944049,4
7311800,3
176145,1
96806502,1
21789339,5
28162194,3
30910212,1
42570532,2
7403493,5
159181,9
17273860,47
135400,2
66251405,3
77399232,1
34144741,6
34312481,1
77701328,21
5744436,1
38215327,3
13709234,20
19874356,69
12377210,12
22009490,10
249889,2
49457400,3
22104,34
129445,4
25003481,3
66164072,1
22243825,3
55542731,25
51687334,2
33900761,2
6916110,3
7408093,5
10192881,16
61649839,9
32506766,11
31969374,5
2039658,1
30123471,8
34526525,14
43063995,3
27461108,2
1140,16
7377286,3
14758746,7
92509661,2
98747188,3
31570021,1
28493688,4
55883008,4
55900696,1
43250524,24
80057214,4
6836078,2
28746205,1
133653,1
25519353,4
33714241,2
17313171,4
7408214,6
80440312,24
42791715,21
50466217,8
56880888,2
19360437,21
21957513,2
103744338,3
23898866,2
43959511,5
7378208,8
70320881,6
43073601,2
3458,1
105628114,2
16270593,5
4928177,13
11470949,3
22040303,4
34139861,12
14438696,4
43239001,2
25006756,7
25352622,8
1620607,2
45556556,3
7377758,3
53048332,1
24801121,12
12044675,2
19725780,3
77366165,9
34274881,5
32352316,2
60811483,5
48864481,67
76184701,7
24493423,15
16501402,6
17140721,13
11970504,13
25230891,7
10916413,12
20276450,23
36403461,21
6867631,11
29812811,4
11331263,1
39937158,1
10652287,5
7247193,3
7326762,1
7409046,35
5675148,10
15223142,10
52987513,1
25016080,2
43399710,3
6799022,16
18470243,10
1708495,6
1066681,12
11845518,9
45717276,5
53382797,3
37402438,83
52759780,2
2679444,6
1431849,6
6833675,1
25987345,7
106357863,40
47032730,2
37446143,2
61910273,12
25145031,17
69597949,4
43500270,7
2763135,17
28521312,2
59841017,1
17613464,1
8283174,3
337356,19
20133652,10
62747229,5
12233473,4
37573570,9
39491208,7
77786783,3
65693037,6
2297682,3
22666743,3
89108103,21
37013189,3
38756386,4
28252454,1
1789209,17
14251306,6
84932403,1
21205414,5
8276027,8
1926819,12
92722116,1
89239402,3
27483460,9
37853891,2
91079112,18
22356585,1
30778728,15
56300200,2
30639445,7
71305860,1
18176337,2
3367471,3
89031709,3
50865892,4
74572597,16
47028783,6
59039813,8
82427999,1
68672585,2
49459269,5
11911996,1
25973641,11
35923806,2
17947142,4
59104384,17
29355222,9
30533216,13
44632286,3
85904248,15
81018089,17
57106858,2
101180552,3
11716932,4
63413825,2
15890979,18
19701069,4
3044901,10
17861684,5
61522452,2
81662065,5
53288970,7
1901142,32
95757174,2
75195632,7
41635417,4
17828666,17
11788554,3
31939034,2
23240868,5
3041602,2
77998515,2
26171426,7
17536361,3
92778111,1
50449618,1
89601728,1
67380683,2
3323699,1
3549251,3
32166498,26
43662145,1
23509882,7
21553023,1
101288174,3
88948154,28
50244355,2
3393296,28
32951084,5
80638445,2
60139058,11
46737230,7
94933996,2
22490612,2
59609287,1
32279626,9
20477765,4
17193444,4
29367532,2
20397002,28
41103298,4
25357460,30
40750959,21
62852070,8
15209206,10
15271321,1
74356539,4
31460303,6
67403144,6
29505593,32
41477198,1
76438278,12
32832319,10
47810570,4
15897867,22
66743190,5
45135211,9
53841909,6
90168726,10
6105526,5
18255329,8
1873615,4
25995677,10
3171315,2
16358347,5
74276734,8
93615251,3
38213112,1
46541661,2
40881138,4
35981313,2
70365815,29
40863920,1
23768853,37
26795329,5
1489483,1
